,index,tweet,language,is_language_tag_correct,correct_language,topic_name,sub_topic
0,0,Art Tadka invites you for a wonderful Workshop of Reverse Decoupage with gold gilding. You get an option to choose a design. Put it on the favorite wall of your house or gift it to a loved one.  This will be a guided…  https://t.co/UBojDsPmmr,en,False,en-hi,Art and Literature,Art festivals
1,1,Gir National Park |  a bookahotel blog  https://t.co/DHLBWK31jl  https://t.co/zpQkfj9hK3 #travel  #ttot,en,True,en,Wildlife and Vegetation,Gir National Park
2,2,Gir National Park |  a bookahotel blog  https://t.co/DHLBWK31jl  https://t.co/zpQkfj9hK3 #travel  #ttot,en,True,en,Wildlife and Vegetation,Gir National Park
3,3,New margin rules are not in favour of retail... I request @FinMinIndia @nsitharaman to bring back the margin immediately!! #sebibringbackmargin #SEBIAgainstRetailers #SEBIrestore4Xmargin #PeakMarginwapaslo  @SEBI_India @PMOIndia @NSEIndia,en,True,en,Economics and Retail,SEBI and New margin rules
4,4,देश को ISRO (भारतीय अंतरिक्ष) जैसा संस्थान उत्तपन्न करने में अग्रणी भूमिका अदा करने वाले #डॉ_विक्रम_साराभाई को पुण्यतिथि पर सादर नमन !  https://t.co/z8gS7TBz2c,hi,True,hi,R&D and Technology,ISRO
5,5,Join us for virtual roadshow hosted by @iitdelhi &amp; @fitt_iitd on Zoom. Be part of opportunity to transform your EV dream into reality with EVangelise 21. Register Now:  https://t.co/31pnWFjqHr #iCreateWithYou #EVangelise #EV #ElectricVehicle #MakeInIndia #Innovation @JaloteAnupam  https://t.co/YZ4sNCYsxx,en,True,en,Manufacturing,Make in India
6,6,Just posted a photo @ Jim Corbett National Park-CorbettTigerReserve  https://t.co/d1bhIDeDqD,en,True,en,Wildlife and Vegetation,Corbett National Park
7,7,"Uttar Pradesh is  - Worst State in India on Health Index - Worst State in Air Pollution - Worst State in Law &amp; Order - Worst State on Education Quality Index  So, Yogi Adityanath did a new Masterstroke.   Agra Mughal Museum has been renamed to Chhatrapati Shivaji Maharaj Museum.",en,True,en,ENVIRONMENT,Pollution
8,8,"This is despite the fact that Reliance Jio, Bharti Airtel, and Vodafone Idea are testing 5G networks, and the supporting airwaves auction isn't scheduled until early 2022.",en,True,en,R&D and Technology,Mobile Technology
9,9,"@AnandAkash_BSP @Mayawati योगी जी केवल हवाई यात्रा से बाढ़ पीड़ितों की समस्या का समाधान नहीं हो सकता, यूपी की जनता बाढ़ जैसी आपदा से बुरी तरह प्रभावित हैं यूपी सरकार को जमीनी स्तर पर काम करने की ज़रूरत हैं  बहन @Mayawati  जी @myogiadityanath  @myogioffice  @AnandAkash_BSP  @KDanishAli  @mpriteshpandey",hi,True,hi,Natural Disaster,Flood
10,10,"While the influx of FDI from China into the startup space is large, its impact is also significant. There has been a 12x growth of Chinese investments in Indian startups from 2016 to 2019, points out @soumyabh_swears:  https://t.co/oPoY66qdfD",en,True,en,Economics and Retail,Unicorns
11,11,"EPN-North America is seeking a part-time Coordinator for our program to create systemic change to reduce wasteful and unnecessary paper and packaging consumption, learn more about the position and how to apply here:  https://t.co/02ImPZriVB #reduce #reuse #jobs",en,True,en,R&D and Technology,Health-Tech and Medical Innovations
12,12,@zomato I order today from Zomato I got the incorrect order it's been n half n hour I m sitting hungry at my place and trying to reach you guy what w services you guys provide to customers hattsoff @deepigoyal  https://t.co/rJXut92LY8,en,True,en,Economics and Retail,Initial Public Offering (IPO)
13,13,"While the influx of FDI from China into the startup space is large, its impact is also significant. There has been a 12x growth of Chinese investments in Indian startups from 2016 to 2019, points out @soumyabh_swears:  https://t.co/oPoY66qdfD",en,True,en,Economics and Retail,Unicorns
14,14,"State-owned Indian Bank on Monday entered into a memorandum of understanding (MoU) with the Society for Innovation and Entrepreneurship (SINE), #IITBombay - an initiative for extending exclusive credit facility to startups and small businesses.  https://t.co/J3UkvKJPxD",en,True,en,Economics and Retail,Unicorns
15,15,પૂર જેવા સંકટના સમયમાં કોંગ્રેસના વિધાયકો બંગ્લોરમાં વેકેશન મનાવતા હતા.. એટલે કરીએ  #કોંગ્રેસવિસર્જન @kavanmehta @NirajGajjar5,gu,True,gu,Natural Disaster,Flood
16,16,Chinese 🇨🇳 investment 💰 on Indian 🇮🇳 Startups 💡  By Junaid Akhter khan 🇵🇰 #PAKvWI #WeLoveNadeemSarwar #سعدرضوی_پرظلم_بندکروو #ENGvIND #auratmarchfaisalabad  https://t.co/RZZeHzcPKZ,en,True,en,Economics and Retail,Unicorns
17,17,.@ndtv You also forgot to tell viewers that NTCA was kept in dark about shifting Ustad from Ranthambore National Park. #FreeT24,en,True,en,Wildlife and Vegetation,Ranthambore National Park
18,18,किसान नेता @RakeshTikaitBKU की उत्तराखंड सरकार को खुली चेतावनी। बीजेपी सरकार पर खुलकर बरसे राकेश टिकैत। पूरा विडियो देखने के लिए लिंक पर क्लिक करें   https://t.co/qitNUlVe8I  @OfficialBKU @NareshTikait  #FarmersProtest #RakeshTikaitBKU  https://t.co/SbLH4qTebL,hi,True,hi,Politics,Farmer Agitation
19,19,"जासूसी कांड कोई नीति या नियम नहीं है, जिसके लिए वाद-विवाद होना चाहिए। इस पर जांच होनी चाहिए - @SupriyaShrinate   मोदी सरकार का बस एक ही नियम है - ना कोई जांच, ना कोई घोटाला, न कोई अपराध  #PegasusSnoopgate #Pegasus  https://t.co/J9IdpZpNJC",hi,True,hi,Politics,Pegasus Snooping
20,20,"#Visit #Corbett #national park, #Summer #vacation #destination near delhi, Book your trip @ 12,000/- 2 Nights/ 3 Days  http://goo.gl/5sz76",en,True,en,Wildlife and Vegetation,Corbett National Park
21,21,@TarekFatah @Indorelitfest Main problem is babri mosque demolition which has bring Hindus n Muslim thekedaars poles apart.,en,True,en,Art and Literature,Literature festivals
22,22,"#Visit #Corbett #national park, #Summer #vacation #destination near delhi, Book your trip @ 12,000/- 2 Nights/ 3 Days  http://goo.gl/5sz76",en,True,en,Wildlife and Vegetation,Corbett National Park
23,23,"#Visit #Corbett #national park, #Summer #vacation #destination near delhi, Book your trip @ 12,000/- 2 Nights/ 3 Days  http://goo.gl/5sz76",en,True,en,Wildlife and Vegetation,Corbett National Park
24,24,Allot mines Do not privatize  Save vizagsteel   #VisakhaUkkuAndhrulaHakku,en,True,en,Manufacturing,Steel Manufacturing
25,25,"I had an epiphany and realized that if I can, I might as well do. My posterity and the ppl around me are owed nepotism and priority. So if I can, I shall do.",en,True,en,Films and OTT,Nepotism in Film Industry
26,26,Tiger Global in talks to invest in Indian EdTech startup Classplus at over $250 million valuation – TechCrunch. #edtech #india # DEV ⁦@dev_clever⁩ ⁦@launch_careers⁩ ⁦@VeativeLabs⁩ ⁦@NISAedu⁩ ⁦@LenovoEducation⁩   https://t.co/kFBCRj6KeT,en,True,en,Economics and Retail,Unicorns
27,27,Plans for this weekend: 1) Re-organize my home working space 2) complete at least 1 chapter of my Harvard online class 3) Make a Mary Kay video 4) Apply for at least 5 jobs,en,True,en,Education,Online Education
28,28,.@ndtv You also forgot to tell viewers that NTCA was kept in dark about shifting Ustad from Ranthambore National Park. #FreeT24,en,True,en,Wildlife and Vegetation,Ranthambore National Park
29,29,@manujosephsan @zomato When u order be close to your phone. Delivery guy did perfectly right and u r perfectly wrong here. Install truecaller so that u know next time who is calling. Never late to be tech savvy,en,True,en,Economics and Retail,Initial Public Offering (IPO)
30,30, https://t.co/6ChwmzxF0J  ऐन दिवाळीत हत्तीच्या कळपामुळे कोल्हापुरातील शेतकऱ्यांचे निघाले दिवाळे #farmer #farm #elephant #india #maharashtra #sangli #maharshtragov #farmdestroyed #themaharashtranews #indianfarmers,mr,False,en-mr,Wildlife and Vegetation,Save Elephants
