,tweet,language,topic_name,sub_topic
0,"Todo dia um”Escândalo” tentando desgastar o Pr @jairbolsonaro Pfizer, Covaxin, Aztrazeneca  Como a Narrativa de Genocida não pegou mesmo com a CPI, a narrativa agora é Propina, Corrupção…  Silêncio sobre a Sputnik?  Lula-Gabas-Consorcio Nordeste🤝  #CPIdoLula #RenanSabiaDeTudo  https://t.co/4jdQfngFKy",pt,R&D and Technology,Health-Tech and Medical Innovations
1,"The more research papers on #ClimateChange I read, the simpler it seems (fewer agents to engage, concentrated impact): Shut down coal plants (in Poland, Germany, China, India, US...), replace with almost whatever, and we'll have done over 1/3 of the way",en,ENVIRONMENT,Climate Change
2,"कल 2 फरवरी 2021 को पर्यावरण, वन एवं जलवायु परिवर्तन विभाग के प्रधान सचिव दीपक कुमार सिंह ने 'विश्व वेटलैंड्स दिवस' पर राज्यवासियों को हरियाली एवं जल-संरक्षण हेतु योगदान देने का आह्वान किया एवं महत्वपूर्ण जानकारियां भी साझा किए- ➤ हमारी पृथ्वी की किडनी हैं वेटलैंड्स  https://t.co/p3VSkX2pyb",hi,Wildlife and Vegetation,climate change(wildlife)
3,NavGrah Immunity Builder Drops are certified by FSSAI and Company (MGNPL) is WHO-GMP and ISO 9001-2018 certified.🔄🔃🔄 @MittalGauravv @GrahNav #SayNo2Corona  https://t.co/xT9FMJdHXq,en,FOOD,Food security
4,#MSP_FarmersRight  #MSP_FarmersRight #FarmersProtest,und,Politics,Farmer Agitation
5,@umanosuki あちこちで冠水してます,ja,Films and OTT,StarKids
6,@RashmiDVS Every Evening in WAZ MAHFIL this type of Anti-Kafir provocative ÌßĹÀMÌÇ speech are publicly given in BANGLADESH  &amp; These Public think if they ATTACK TEMPLE FORCEFULLY RAPE &amp; CONVERT KAFIR FORCE TO FLEE KAFIR they will go to JANNAT &amp; GOD will offer them 72 VIRGIN their...  https://t.co/1BZtEgZ9NP,en,Journalism & Media,Criminal Journalism
7,Comfortable Stay At Ranthambore National Park  http://t.co/I1iEAAsjpO,en,Wildlife and Vegetation,Ranthambore National Park
8,#ilf2019 @Indorelitfest inauguration with #kabir Vani...  https://t.co/9RT5RBvN7h,en,Art and Literature,Literature festivals
9,@WUTangKids Doocy is nepotism embodied,en,Films and OTT,Nepotism in Film Industry
10,Shri Ranga Hari releases ‘Hindutva for the Changing Times’ at Kochi International Book Festival   https://t.co/BLIVR3AIx6,en,Art and Literature,Book Fairs
11,@udaychopra @zomato @swiggy_in 🤮,und,FOOD,Online food delivery
12,"@vschanna Dumbo comes to bangalore lit fest doesnt know who is Kambara,Nielkani but she is a great activist 😂",en,Art and Literature,Literature festivals
13,"@VodafoneIdeaIN #vodafoneindia  Never trust vodafone. I was sold redex plan which never worked. Repeated complaints, no response. I want to port now, the company asks for exit fees. Blasphemous in times of competition. They should compensate me for zero service and mental torture",en,Journalism & Media,Social Movements and News
14,#bycotttandav #Bycott_Tandav  एक cartoon पर अगर पूरी दुनिया में boycott France हो सकता है तो boycott amazon क्यों नहीं. और भगवान शिव पर टिप्पणी के जगह #CharlieHebdo के cartoon पर करों अगर दम है.....😡🤬 #SaifAliKhan #AliAbbasZafar,hi,Films and OTT,OTTCensorship
15,@MukeshAmbani06  Jio apke baaap ka hoga SHYAD jo app uske chairman ban gyee hai aajkal so do you even remember who I was in jio?,hi,R&D and Technology,Mobile Technology
16,"#event #goa #whatsongoa Retro Pop And Rock (Casino Carnival, Panjim) - (25 Jan 2017) (Event)   https://t.co/hNZU8ialcK Retro ...  https://t.co/WiOQ01M4L2",en,Art and Literature,Art festivals
17,क्या वाकई ऐसा है? आपको क्या लगता है? #PetrolPriceHike #Petrol100NotOut #KisanKiBaat #PetrolPrice  @INCIndia  @nsitharaman  @KisanSabha  @Kisanektamorcha  @BKU_KisanUnion  @KisanMera  https://t.co/zD2ecQ7sj1,hi,Journalism & Media,Policy and Trends
18,@IrwinsLeftPeg @Cantona_Collars @Fergie_Years Given our injuries at the time…who should have Ferguson played instead? It wasn’t nepotism…it was necessity. Darren was decent and nothing more…he didn’t let us down in any way…he helped us win the league and should be respected for that. D,en,Films and OTT,Nepotism in Film Industry
19,400+ Films 3 National Film Awards 7 State Film Awards 11 Kerala Film Critics Awards Honoured with the Padma Shri   In a career spanning across 50 Years  BIG BOSS FT ASIM OUT TOMORROW #AsimRiaz #bigboss15  Congratulations @mammukka   #50YearsOfMammoottysm  https://t.co/yXKlOvfqbU,en,Films and OTT,NationalFilmAwards
20,@Prayagwale @_Kela_Lelo @nytimesworld Haha climate change me to india na bachega 65+ years of bjp me 😂😂 congress se upar na aa paaoge,en,ENVIRONMENT,Climate Change
21,Again #earthquake hit delhi during the lockdown  https://t.co/JPN0XSfUsJ,en,Natural Disaster,Earthquake
22,Do you have an eco-friendly business plan? Post it on www.RangDe.org 2 find investors n get featured here  http://ow.ly/1GFHu @RangDe #india,en,ENVIRONMENT,Eco Friendly
23,"Here's a #FSSAI to find out.  Take ½ teaspoon of ghee in a transparent glass bowl. Add 2-3 drops of tincture of iodine to it.  If you see it turning dark blue in colour, it indicates the presence of mashed potatoes,  sweet potatoes and other starches. #SureIngredients #EatSure  https://t.co/L8VmOohO4A",en,FOOD,Food security
24,#INDIA #TECH #STARTUP #BUSINESS #ECONOMICS #DIGEST #MORNING:..is the latest beneficiary of the boom in..is set to become the latest Indian startup unicorn after raising  *TWEET OF THE DAY  *13 Indian firms in ..’s startup accelerator programme  https://t.co/A25vu0g4zG  https://t.co/6s5rVMagb9,en,Economics and Retail,Unicorns
25,"Forest cover in India grew by over 6,700 sq km: FSI DG..  https://t.co/SK2h2ZUbT4",in,Wildlife and Vegetation,Forest Cover
26,"13 ઓગસ્ટથી સતત ચાર દિવસ સુધી બેંક રહેશે બંધ, ફટાફટ જાણી લો યાદી Bank holiday RBI https://t.co/sRFxuS767M",gu,Journalism & Media,Print Media & TV
27,IPL टीमों को सबसे बड़ा झटका! 2022 मेगा ऑक्शन से पहले सबको मानना होगा ये कड़ा रूल  https://t.co/cDtb8xJEuK,hi,Sports,Indian Premier League (IPL)
28,"@hereforbtxs And the Indian twitteratis, all they talk about is tiktok vs youtube as if that's a really imp topic than Covid-19, crime, Amphan cyclone, flood in Assam, locust plague let alone the blm movement in America. :') India has inbuilt racism",en,ENVIRONMENT,Floods
29,Central body approves Rs 400 crore for Ganga rejuvenation projects  https://t.co/iNmxtanHVr  via NMApp,en,Wildlife and Vegetation,River Rejuvenation
30,If #climatechange continues unhindered then average temperatures in India could reach as high as 29.1° C by d end of d century  up fm 25.1° C currently. This is likely to pose serious threats to our #environment #FaceTheClimateEmergency #ClimateAction #climate #ClimateAdaptation,en,ENVIRONMENT,Climate Change
31,We've been working on high tech data-based insurance in India and now it's in Bangladesh - farmers getting first  payouts to bounce back from major floods. A real #climatecrisis solution from @WLE_CGIAR  @IWMI_ @CGIARclimate  https://t.co/Ia8R3DPX41 #COP25 #adaptourworld,en,ENVIRONMENT,Floods
32,Jeffry ga ada kabarnya  :(,in,Wildlife and Vegetation,Nanda Devi National Park
33,@sungieszn  https://t.co/zYSb0IN9PQ,und,Films and OTT,StarKids
34,"Teenage stars have really been winning lately, first Billie with bad guy, then Olivia with drivers license, and now the kid Laroi with stay…",en,Films and OTT,StarKids
35,ऊर्जा: क्षमा- संसार में शांति फैलाने के लिए बदले की भावना से ऊपर उठें और सीखें दूसरों की गलतियों को माफ करना Urja forgiveness https://t.co/6DGeBn5wGn,hi,Journalism & Media,Print Media & TV
36,@adityatabla @JaipurLitFest @ShubhendraRao @SaskiaRaodeHaas Sounds amazing!  Congrats!,en,Art and Literature,Literature festivals
37,"Today, even though the rapists of the #Nirbhayacase have hanged, don’t forget, in the last 8 years, the convicts showed no remorse and one of them, who is Akshay Thakur justified his act by saying that, “good girls are never out so late”.",en,Journalism & Media,Criminal Journalism
38,"Metupalayam Ooty Nilgiri Passenger train is India’s slowest train, which runs at a speed of 10 kmph #IndianRail",en,Wildlife and Vegetation,Nilgiri National Park
39,#Earthquake in #Delhi,und,Natural Disaster,Earthquake
40,#hatredOnHumanity 😠😠 #humanityisdead  #elephantkerala  #ShameOnHumanity 💔 #saveanimals  #SaveElephants 🐘 #KeralaElephantMurder  https://t.co/OLpXZroyj3,und,Journalism & Media,Criminal Journalism
41,KFC India is testing eco-friendly serving bowls that you can eat  https://t.co/0F4qwE0i6h,en,ENVIRONMENT,Eco Friendly
42,One a serious note it will be very difficult for me to trade in intraday with this new sebi Margin rule 😔  sebi should consider take back this new margin chutzpah 😪,en,Economics and Retail,SEBI and New margin rules
43,Pune-based Startup #Ahammune Biosciences raises Pre-Series A funding from @IdeaspringCap   and @ianetwork  Indian Angel Network   #Biotechnology #Pune  https://t.co/kZfruQ336p,en,Economics and Retail,Unicorns
44,"Don't be a ""whiskey in a tea cup"", rather be a ""kaju katli in a soan papdi box"".",ht,FOOD,Indian desserts
45,"@advocate_sneh Waah first time in Indian history, such statements coming from ruling party  Farmer Power is showing fruitful results finally  #FarmersProtest  #KisanMajdoorEktaZindabaad",en,Politics,Farmer Agitation
46,#ArrestLucknowGirl @narendramodi @PMOIndia @AmitShah,und,Journalism & Media,Criminal Journalism
47,Dear lord I can’t take one more semester of online classes.,en,Education,Online Education
48,"Neeraj Chopra's coach Klaus Bartonietz said that they were expecting silver or bronze, but not gold for the javelin star at #Tokyo2020.   https://t.co/TiOABEyVtu",en,Sports,Olympics
49,Corbett Falls- A pretty waterfall aptly named after the legendary Jim Corbett at Jim Corbett National Park.  http://t.co/5ArqbtGSPV,en,Wildlife and Vegetation,Corbett National Park
50,"Community collective savings have helped Dalits, a south Asian group subjected to caste-based discrimination in countries like Nepal and India to cope during the #Covid19 crisis. Via International Centre for Climate Change and Development (ICCCAD)   https://t.co/T51UqkjWGs",en,ENVIRONMENT,Climate Change
51,Kenapa ada h*di a*ang kat mural tu lmao,in,Art and Literature,Forms of Indian Art
52,"प्रकृति ने हमको बहुत कुछ दिया है, आइए इस #WorldNatureConservationDay पर हम सब जल, जंगल और जीव के संरक्षण, विलुप्त होते जीव-जंतु और वनस्पति की रक्षा के लिए समर्पित भाव से संकल्प लें और हमारी आने वाली पीढ़ियों के बेहतर कल के लिये प्रकृति के संरक्षण को सर्वोच्च प्राथमिकता दें👏",hi,Wildlife and Vegetation,all_conservation
53,"@emesar2 How can the media say 'no' to elections, Covid Or cyclone, when they're the main source of their TRPs?",en,Natural Disaster,Cyclone
54,@nikenfibrian : we duwe ask.fm gak?,in,Wildlife and Vegetation,Nanda Devi National Park
55,#guwahati #assam Rhino-poaching bid at Guwahati zoo foiled: After Kaziranga National Park a...  http://t.co/fJyyCACT  http://t.co/whELgDlx,tl,Wildlife and Vegetation,Kaziranga National Park
56,"Airtel is the biggest scammers on the planet, i lodge a complaint two days back and no one came to fix the problem and the company has the audacity to send me a msg that it’s been fixed ! None of the agents numbers that the customer care provided is working !  @airtelindia",en,R&D and Technology,Mobile Technology
57,Jim Corbett National Park - Bird Sanctuary and Wildlife Reserve in India  http://t.co/meLXz85C,en,Wildlife and Vegetation,Corbett National Park
58,Similarity between Indian Education System and Sunny Leone. Here Sunny Leone means bad externalities.   Read my thoughts on @YourQuoteApp #yourquote #quote #stories #qotd #quoteoftheday…  https://t.co/MZt28HMJL3,en,Education,Education System
59,@mygovindia @PMOIndia @moefcc @PIB_India @MIB_India @PrakashJavdekar Why don't you talk about Methan no 1 reason for climate change?,en,ENVIRONMENT,Climate Change
60,Top Gainers  BAJFINANCE   4.85 % JSWSTEEL     3.17 % TECHM        2.84 % TATASTEEL    2.81 % HINDALCO     2.73 % BAJAJFINSV   2.64 % ICICIBANK    2.38 % INDUSINDBK   2.21 % TITAN        1.95 % ONGC         1.91 %,nl,Manufacturing,Steel Manufacturing
61,"Fun fact: This was supposed to be Chandrayaan 2 in partnership with Roscosmos, which was cancelled due to delays. It's orbiter is the Mangalyaan we see today!  I came to know this today, thanks to @gareebscientist  https://t.co/5ugG7xWbVb",en,R&D and Technology,ISRO
